Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,218.03,140.9383,1897.92,198.47,51.89,56.89,43.84,129.4,328.58,304.99,112.4496,297.82,189.46,172.78,280.93,128.73,41.975,97.58,229.97,66.78,1917.49,392.85,54.94,166.63,73.71,283.51,93.56,532.9,80.31,201.92,70.41,112.97,14.12,18.44,55.77,306.07,181.3,45.955,244.51,245.3,140.485,30.595,206.76,67.88,120.15,313.93,51.05,33.25,158.83,107.08,235.96,51.24,107.06,117.64,41.99,9.0,116.98,84.47,31.48,217.7,65.33,97.07,106.32,61.22,6.38,145.95,648.55,70.89,39.87,17.1,209.99,200.93,96.68,217.01,155.495,192.15,93.04,65.19,264.0,29.735,112.2
2019-07-31,221.37,140.49,1899.55,198.76,51.72,56.8307,43.895,130.48,331.77,304.95,112.3,300.83,188.0,174.215,279.72,128.57,42.17,96.65,227.36,66.72,1915.48,390.99,55.2499,172.0,75.28,281.34,92.95,531.17,81.65,195.98,71.25,113.26,14.22,18.4,55.45,303.935,170.21,46.79,246.68,241.42,141.23,30.5,208.69,66.08,120.97,312.255,50.59,32.26,160.6,107.04,234.18,49.9297,106.88,119.78,41.54,8.88,115.62,86.29,32.3,212.36,65.44,96.54,104.5,60.72,6.32,141.98,643.44,71.36,39.37,17.04,214.5,200.9,96.8,215.03,153.47,194.25,93.82,65.28,264.29,30.0,113.31
2019-07-30,210.16,141.2199,1909.89,198.71,52.31,56.9,44.26,132.08,329.65,307.09,112.29,300.93,176.72,175.94,280.57,128.97,42.32,98.275,229.405,67.83,1925.29,398.615,55.27,167.84,75.07,281.84,92.97,535.09,82.33,200.63,70.36,113.33,14.41,18.46,55.65,304.0,171.1,47.68,243.36,242.64,141.46,30.99,215.65,65.66,121.3808,311.27,51.0458,31.86,162.85,106.48,236.38,48.36,104.22,121.04,41.5,8.87,115.62,86.74,33.94,212.73,65.68,89.01,106.26,61.31,6.25,139.53,650.05,71.03,39.3,17.31,204.05,199.35,97.37,215.465,153.11,193.46,93.97,65.505,263.05,29.89,111.81
2019-07-29,210.64,141.51,1932.226,199.63,52.5599,57.15,44.71,132.06,336.4,311.94,114.28,302.55,177.16,175.4697,281.3,130.37,43.56,98.94,231.26,68.4,1962.98,402.89,55.245,169.13,76.32,284.88,93.19,530.59,84.79,202.15,69.925,114.1,14.412,18.74,55.54,305.3,167.51,46.97,235.94,239.3,141.5946,31.4538,217.0,66.47,122.5,314.95,50.77,31.965,168.62,106.92,238.765,48.525,105.015,122.16,41.65,9.02,114.865,86.73,34.18,211.17,65.71,89.79,104.8,61.17,6.245,144.64,658.3,72.305,39.5,17.22,199.64,199.9,98.69,218.055,153.27,192.34,94.05,65.55,262.55,30.2,112.72
2019-07-26,209.73,141.675,1950.895,202.88,53.5,56.84,45.08,131.42,336.0,312.5,116.35,303.015,175.51,176.95,281.77,128.93,42.51,99.72,232.41,67.04,1969.88,399.13,54.91,169.58,75.85,284.97,92.94,534.0,85.22,202.17,69.74,115.27,14.29,18.285,55.14,302.98,171.13,48.13,230.26,238.45,141.34,32.005,218.9499,66.5,123.04,309.73,51.1,31.95,171.51,107.055,243.25,48.225,104.31,127.87,41.385,9.01,119.905,86.65,34.77,212.9,65.43,90.49,102.98,60.76,6.23,149.8,662.9,72.035,40.53,17.22,203.52,199.49,98.73,219.4,152.72,192.74,94.44,65.55,262.6063,30.155,114.83
2019-07-25,209.24,140.61,2001.2,208.66,52.6,57.5,45.295,129.525,327.69,309.66,117.55,302.13,176.5,177.5,281.94,128.8,42.54,91.55,232.97,67.07,1928.91,410.32,54.64,167.97,76.14,282.43,92.48,540.0,81.41,203.65200000000002,70.14,116.26,14.3886,16.48,55.25,304.73,172.51,48.7,234.5,241.55,141.74,32.38,216.26,66.01,124.1,311.515,51.79,32.18,172.76,105.99,245.48,47.4,97.18,131.29,41.15,8.92,121.81,85.58,34.25,214.27,65.07,89.765,104.9,60.7,6.23,136.36,666.18,72.43,40.73,17.39,219.71,198.19,99.03,218.245,151.8,193.71,95.11,65.02,262.62,30.0,115.06
2019-07-24,209.15,140.74,2001.3,204.81,52.97,57.68,44.875,131.2,319.99,310.7317,121.33,304.88,176.75,178.89,281.24,129.8028,42.43,90.75,234.5,66.8219,1920.83,410.983,54.89,167.47,76.42,282.64,90.08,543.81,81.57,206.65,70.35,116.76,14.5826,16.45,55.21,306.93,175.0,48.23,266.07,245.93,140.53,32.33,215.15,65.84,124.785,314.29,52.42,32.08,173.95,106.61,247.57,46.99,95.29,133.0,41.18,8.77,125.46,85.08,34.36,218.49,65.07,89.94,106.25,60.65,6.1,136.91,660.3,72.41,40.75,17.5,279.95,197.34,100.06,217.15,152.005,192.42,95.455,65.025,261.96,29.76,114.9
2019-07-23,208.91,139.99,1997.79,204.24200000000002,52.0,58.095,44.42,132.24,313.5,309.98,120.27,302.36,176.77,175.74,282.08,120.35,42.68,91.36,231.33,66.44,1910.379,409.6,55.14,169.0,75.59,283.08,89.96,540.0,78.16,205.78,71.35,115.25,14.88,16.35,54.88,305.77,176.36,47.14,260.48,246.99,140.88,31.92,216.47,65.87,119.93,310.87,51.32,32.39,171.45,106.63,246.94,45.93,95.77,128.01,41.16,8.86,123.08,84.96,33.5,210.0,64.38,89.14,100.94,60.87,6.105,136.74,641.61,69.76,40.905,17.47,276.14,197.06,95.59,216.8,151.53,189.84,94.98,65.65,261.0,29.29,116.48
2019-07-22,207.23,139.19,1989.0,202.57,51.515,58.01,44.14,130.813,314.54,309.92,119.2098,299.99,178.81,171.84,282.32,118.49,42.45,91.18,228.1191,65.82,1906.5970000000002,411.72,54.9762,168.37,76.62,282.49,90.28,538.91,78.66,206.72,71.14,113.15,15.1,16.055,54.66,299.355,174.57,47.425,262.155,235.24,137.79,30.95,216.46,65.91,118.08,300.32,50.8,31.84,172.27,107.48,246.18,45.6,96.16,124.95,41.065,8.85,123.63,85.05,33.31,207.87,64.3,89.13,99.64,60.95,6.12,136.7072,640.95,70.14,38.64,17.4,283.26,197.38,94.17,217.69,152.44,189.66,95.06,65.64,261.485,27.98,118.0
2019-07-19,206.5,140.67,1996.0,202.33,50.66,58.07,44.76,133.19,325.85,313.11,121.36,293.16,181.58,171.98,284.31,119.0,42.0,91.61,224.925,67.53,1901.59,417.13,55.5,168.965,75.71,284.55,90.99,544.85,77.99,207.395,72.67,113.7,14.99,16.18,55.11,298.2,179.15,46.0,259.96,234.13,140.23,31.29,221.5,66.27,117.07,303.683,48.49,31.72,174.35,108.2,252.5,46.11,97.25,124.48,40.33,8.93,124.2,86.15,33.35,200.7978,64.75,89.4106,98.63,62.03,6.1,137.985,657.1855,70.25,38.945,17.48,288.36,198.25,93.87,218.77,153.82,190.5475,96.03,66.07,263.815,28.18,117.95
2019-07-18,205.88,136.62,1987.5,202.47,49.99,57.79,44.58,133.2,329.85,310.92,120.8,290.3,180.43,172.71,283.06,118.72,42.02,91.54,226.99,67.6,1895.68,416.05,55.335,167.92,75.35,283.03,91.05,537.22,79.07,206.56,71.93,113.49,15.3,15.94,54.96,304.931,178.58,44.93,255.75,232.34,140.85,30.6,219.37,66.02,116.25,304.2,48.64,31.145,173.63,107.63,251.91,46.5,96.98,123.91,42.0,8.84,124.2671,85.7,33.46,200.1,65.94,89.47,97.5228,61.98,6.07,136.92,650.9,70.165,38.04,17.355,288.81,198.06,92.98,217.17,153.0,190.5,95.48,65.68,262.54,28.09,117.32
