Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,206.7435,136.93,1844.01,190.88,49.47,55.16,42.78,126.77,318.735,296.77,109.665,282.32,184.139,162.8204,274.31,123.23,41.48,94.58,219.18,65.08,1867.74,383.98,53.39,163.7,68.25,277.07,91.81,516.65,78.77,193.65,67.3,108.75,13.9,18.185,53.9,298.63,170.13,42.835,231.77,236.42,136.5,27.64,200.0,65.03,113.105,304.61,47.91,31.63,153.03,102.49,222.021,48.81,104.18,111.76,40.78,8.765,113.5,82.8,29.1,204.045,63.29,93.08,99.435,58.74,6.26,140.0,617.025,67.785,37.045,15.83,200.2601,195.4,90.44,211.11,150.51,184.07,89.73,63.12,258.15,28.225,110.48
2019-07-31,211.3,135.08,1849.44,192.68,50.05,54.9,42.7,126.24,318.53,295.11,109.43,286.67,177.898,167.02,272.63,123.04,41.42,93.5,221.205,64.16,1866.27,382.0,52.82,164.95,72.757,275.155,91.55,515.01,78.95,193.09,69.71,110.75,13.91,18.04,53.79,296.4,165.66,44.44,236.65,235.235,137.8,29.35,199.68,64.24,116.06,301.2,48.6862,31.465,154.285,104.42,226.06,48.38,103.9696,112.87,40.63,8.65,111.7,82.3,30.3,206.16,63.72,91.04,101.645,59.14,6.16,136.64,614.13,69.4117,38.355,15.96,206.27,192.91,92.87,208.7017,150.02,189.03900000000002,91.48,63.58,256.51,29.48,111.15
2019-07-30,207.31,139.8005,1883.48,193.5,51.56,56.35,43.72,130.23,323.23,302.55,108.77,297.1,174.27,172.37,279.1,127.49,41.96,96.52,227.33,66.66,1903.585,391.22,54.73,164.9,74.36,278.37,92.27,525.55,81.02,196.82,68.92,111.75,14.18,18.285,54.61,294.83,165.52,46.195,232.18,236.06,139.88,30.375,205.27,65.09,119.57,303.52,49.91,31.3102,160.01,105.47,228.0,47.5,102.78,118.7242,41.07,8.780100000000001,110.84,85.75,32.94,207.56,65.05,86.24,101.12,60.23,6.115,136.25,629.6325,69.2,38.63,16.98,194.02,196.97,95.93,213.21,151.55,189.4641,92.48,64.885,258.64,29.42,110.39
2019-07-29,208.44,139.3663,1890.54,195.3,50.78,56.54,44.12,131.17600000000002,328.77,301.48,111.22,296.9576,174.84,171.27,279.54,127.93,42.93,97.208,229.39,67.3,1908.19,390.78,54.76,167.665,74.67,279.52,92.3,523.0,81.92,198.92,68.77,112.45,14.045,18.4,54.965,298.88,165.27,45.85,226.033,235.93,139.46,30.78,205.44,65.435,120.82,302.81,50.06,31.55,160.7,106.0,230.36,47.08,102.49,119.79,41.12,8.945,109.83,86.18,32.98,207.85,65.15,86.945,102.18,60.59,6.1,134.11,646.01,71.36,38.53,16.97,189.6,197.64,97.41,213.37,152.14,188.68,93.13,65.1899,257.66,29.75,110.4
2019-07-26,207.14,140.3,1924.51,196.25,51.53,56.37,44.02,128.71,327.5,309.26,114.34,300.53,173.12,174.47,279.12,127.305,42.17,95.21,230.83,65.92,1940.0,375.055,54.31,167.31,74.85,281.45,91.58,523.96,80.95,200.34,68.84,114.02,14.03,17.82,54.58,296.08,165.85,47.09,222.25,232.321,139.92,31.52,215.47,65.75,121.71,300.61,50.46,31.44,167.77,105.09,237.88,47.16,98.51,120.47,40.82,8.915,113.9,85.59,33.865,209.55,63.99,89.28,101.25,60.1,6.14,136.06,647.1375,70.9,38.99,16.985,195.71,196.09,97.42,212.85,150.285,189.81,93.23,64.73,258.51,29.42,112.47
2019-07-25,206.73,139.3215,1972.72,198.26,51.88,56.37,43.8099,128.39,316.3,306.1,113.23,299.4,173.77,172.44,279.34,126.57,41.92,90.47,229.72,66.2,1905.03,404.58,53.95,166.62,75.0965,279.16,89.5,530.09,79.71,201.27,68.6826,113.9882,14.24,16.34,54.5,297.92,169.02,47.59,225.55,237.3,139.31,31.68,210.825,65.31,120.58,302.92,50.67,31.335,167.15,104.28,235.31,46.36,94.5,124.25,40.7365,8.77,117.82,84.56,33.62,210.07,64.035,87.88,101.52,59.93,6.08,130.9,650.86,70.97,39.91,16.9,197.11,196.3,97.08,213.92,149.82,190.7,92.96,64.29,259.6,29.46,112.44
2019-07-24,207.17,138.85,1965.87,197.22,51.8,57.11,44.225,128.62,307.25,305.81,118.93,300.5,174.88,174.34,279.01,125.96,42.13,89.68,230.01,65.83,1896.26,404.82,53.99,166.0692,73.68,279.71,89.29,532.91,78.8281,198.21,68.28,113.61,14.45,16.25,54.26,301.97,172.31,46.82,258.16,239.15,137.75,31.6,210.671,64.83,120.51,303.59,50.76,31.58,167.93,105.5025,244.04,45.69,92.86,125.86,40.785,8.66,116.21,83.75,33.45,209.01,64.1,88.0,102.71,59.975,6.025,133.81,627.54,69.36,39.95,17.29,270.112,194.92,96.67,213.78,149.66,189.0664,94.24,64.26,258.25,29.13,111.515
2019-07-23,207.29,138.03,1973.13,200.963,51.3,57.48,43.95,130.41,306.0,305.22,118.695,299.21,175.52,172.27,279.024,118.55,42.325,89.17,229.32,64.68,1887.94,403.93,54.405,166.71,73.31,278.28,89.08,529.119,76.95,203.93,69.71,112.24,14.4852,16.14,53.74,297.07,173.3956,46.23,254.5,238.21,136.11,30.84,208.36,64.89,117.69,296.91,50.12,31.45,167.97,105.32,243.1,45.29,94.33,123.91,40.6801,8.765,121.52,83.65,32.93,206.36,62.95,87.71,99.1601,60.0,6.01,130.78,623.3,67.0,38.69,17.06,269.2942,194.8,93.71,213.57,149.87,186.71,93.75,64.97,256.41,28.1,114.08
2019-07-22,203.61,137.33,1958.26,198.81,49.89,57.37,43.64,129.63,305.81,307.14,118.12,292.24,175.72,169.0,279.32,117.57,42.125,90.05,225.29,64.75,1882.74,405.76199999999994,54.34,166.264,75.06,279.165,89.39,528.11,77.27,204.01,70.0,111.45,14.65,15.87,53.66,293.87,172.4071,46.31,254.19099999999997,231.29,135.39,30.48,214.05,65.19,115.55,294.695,49.21,31.31,170.09,105.66,241.8,44.8101,95.2,122.7,40.18,8.74,121.25,84.06,32.735,202.87,63.01,87.51,98.46,60.24,6.06,132.82,630.0,68.99,38.0,17.1,274.01,195.41,92.735,214.55,150.51,186.08,93.77,65.05,258.15,27.65,115.17
2019-07-19,202.36,136.45,1962.225,198.07,49.91,57.32,44.02,130.01,314.23,305.265,118.6,289.53,178.19,168.2,281.35,117.0437,41.6428,90.2342,223.11,64.91,1882.09,409.38,54.86,166.37,74.42,278.64,90.08,525.37,76.935,204.755,70.21,112.18,14.66,16.02,54.37,291.0,174.045,44.63,254.62,231.09,137.63,30.81,214.01,65.03,115.52,296.35,47.66,30.76,169.21,106.51,243.43,45.09,94.9,122.57,39.47,8.82,120.77,84.53,32.45,196.93,62.78,87.47,96.48,60.735,6.01,134.1025,626.35,69.08,37.97,17.0301,280.0,195.84,92.25,213.48,151.29,187.88,93.54,64.975,257.68,27.7,116.02
