Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,213.9,137.0,1871.72,194.17,50.52,55.84,43.19,128.96,324.25,299.15,110.45,289.13,186.4,169.14,275.75,125.6,41.52,95.0,225.98,65.66,1885.47,385.94,53.39,165.25,68.88,278.61,92.0,520.49,79.99,194.05,69.97,111.53,14.12,18.36,54.6,300.0,173.42,45.0,242.65,238.76,138.99,29.91,201.0,66.96,117.78,306.68,49.44,32.1,156.12,106.69,232.49,48.93,107.06,114.31,41.36,8.95,113.5,83.12,30.5,207.89,64.79,93.25,103.34,58.9,6.28,140.0,624.53,70.04,38.98,15.85,209.09,195.9,94.45,211.59,150.51,191.28,92.03,64.24,261.07,29.6,111.77
2019-07-31,216.42,140.33,1898.11,196.95,51.51,56.33,43.8,130.48,325.16,303.61,112.2,300.03,180.0,174.18,279.02,127.82,41.44,96.65,227.06,65.65,1906.33,390.98,55.0,172.0,74.83,278.77,92.34,531.02,81.22,194.66,70.47,112.5,14.22,18.24,55.28,300.76,168.79,46.71,243.0,239.76,140.98,30.49,206.45,65.45,120.97,309.8,50.53,31.87,160.28,106.19,232.64,48.79,104.84,119.51,41.38,8.84,114.81,86.01,32.08,210.7,65.33,94.0,104.13,60.35,6.16,136.81,636.9,70.94,39.15,17.0,208.0,199.48,96.8,214.26,152.04,191.0,93.56,65.01,262.78,29.87,111.71
2019-07-30,208.76,140.14,1891.115,195.39,51.71,56.85,44.04,131.34,329.2,305.07,110.79,299.09,174.92,172.95,280.27,128.19,42.15,97.5,227.66,67.8,1909.86,391.67,54.97,167.33,74.58,279.48,92.82,526.19,81.7,199.03,69.05,112.5,14.2,18.43,54.99,298.86,165.74,46.88,232.9,237.33,140.33,30.85,210.5,65.66,120.3,304.31,50.06,31.63,162.08,106.15,230.5,48.1,102.78,119.83,41.3,8.81,111.69,85.83,33.21,208.63,65.16,87.93,103.5,60.61,6.16,137.91,646.73,70.54,38.93,17.23,194.65,199.09,96.83,213.5,151.94,190.98,92.83,65.09,260.17,29.49,110.89
2019-07-29,208.46,141.5,1930.0,199.0,51.53,56.69,44.7,131.5,335.98,311.94,113.5,301.23,175.27,174.78,281.01,128.2,43.49,98.05,230.61,68.09,1958.78,398.78,54.77,169.13,75.16,284.29,92.48,528.59,84.63,201.55,68.8,113.75,14.06,18.7,55.09,301.34,167.21,46.87,227.09,238.21,139.94,31.45,216.58,66.36,122.08,314.5,50.46,31.9,168.31,106.55,238.36,48.0,102.71,120.78,41.28,9.01,114.65,86.6,34.14,210.31,65.23,89.41,103.66,60.79,6.22,144.0,656.13,71.71,39.11,17.16,199.18,198.63,98.38,217.0,152.69,190.67,93.44,65.36,261.06,30.04,112.39
2019-07-26,207.48,140.37,1942.0,200.19,52.69,56.68,44.02,129.44,328.79,309.97,115.71,301.59,174.27,174.47,279.8,127.82,42.19,96.4,232.22,66.35,1940.0,380.0,54.47,167.61,75.11,282.16,92.17,533.42,81.1,201.44,69.52,115.01,14.09,17.87,54.86,300.0,170.18,47.94,226.92,233.91,141.29,31.93,216.27,65.76,122.78,304.35,50.89,31.67,170.23,105.85,243.04,47.48,98.97,127.71,40.93,8.94,118.97,85.81,34.23,211.45,64.47,89.5,102.5,60.22,6.16,136.75,650.0,71.63,40.49,17.07,203.26,196.99,98.64,214.68,150.6,192.25,94.02,64.73,260.57,29.5,114.25
2019-07-25,208.89,140.43,2001.0,206.7,52.51,57.36,44.31,128.63,318.86,308.66,116.75,302.13,175.78,176.99,281.2,128.59,42.53,91.49,232.76,66.57,1911.99,407.22,54.07,166.95,75.84,279.98,89.55,538.29,81.36,201.88,69.01,116.23,14.3886,16.43,55.2,304.73,172.22,48.4,233.5,241.32,139.66,32.04,213.04,65.81,123.19,311.12,51.72,31.81,171.91,104.28,245.48,47.36,95.47,125.01,41.04,8.83,120.48,85.1,34.05,213.68,64.63,88.45,104.53,60.37,6.09,134.82,662.46,72.43,40.27,17.29,219.28,197.31,98.66,215.92,151.73,192.95,94.19,64.87,259.96,29.66,112.92
2019-07-24,207.67,138.9,1969.3,197.63,51.98,57.58,44.31,131.2,310.51,305.81,120.0,301.2,176.02,177.4,279.83,126.5,42.25,89.9,230.19,66.48,1896.26,407.45,54.68,167.47,74.01,281.17,89.6,535.73,79.2,206.02,69.19,114.8,14.45,16.27,54.64,304.0,175.0,46.95,259.17,244.7,140.08,31.74,212.08,65.54,121.02,310.87,50.99,31.94,169.02,105.94,245.24,45.71,95.07,127.39,40.87,8.77,125.0,84.5,33.64,210.0,64.28,88.04,102.75,60.64,6.03,134.06,631.34,69.36,40.5,17.4,272.0,196.06,97.45,214.74,150.84,189.07,94.91,64.98,258.92,29.13,114.5
2019-07-23,208.46,139.76,1995.99,202.84,52.0,58.06,44.01,131.13,311.44,309.91,119.42,299.5,176.43,172.9,281.85,119.2,42.42,91.25,230.87,65.07,1898.63,408.97,54.91,168.28,75.34,282.3,89.42,532.14,77.74,204.79,71.35,112.27,14.88,16.2,54.14,300.0,174.43,46.78,256.71,239.0,137.32,30.9,216.47,65.09,118.5,298.34,50.64,31.51,171.45,106.11,243.1,45.82,95.77,124.39,40.88,8.81,122.42,84.44,33.17,207.6,64.1,88.88,99.89,60.87,6.09,136.72,638.59,67.01,38.69,17.15,274.88,196.52,94.2,216.8,151.26,189.0,94.14,65.65,260.07,28.26,116.04
2019-07-22,203.65,137.41,1971.14,199.91,50.005,57.46,44.11,130.49,312.0,308.39,118.99,293.0,177.83,169.3,281.22,117.98,42.22,90.52,225.29,65.3,1883.65,411.0,54.96,166.98,75.06,280.41,90.28,534.0,77.8,205.62,70.2,112.25,15.1,16.03,54.66,294.56,173.34,46.5,258.75,232.52,137.5,30.91,214.95,65.3,116.05,298.2,49.32,31.58,170.31,107.06,246.01,45.33,95.83,122.74,40.26,8.83,121.49,84.65,32.8,202.88,63.27,88.02,98.71,60.89,6.09,134.3,631.4,69.53,38.06,17.18,281.43,196.07,92.98,215.46,151.75,189.46,94.07,65.38,258.41,27.88,116.43
2019-07-19,205.79,140.22,1991.21,202.18,49.96,57.81,44.75,133.17,323.4,311.56,120.74,291.83,180.67,171.72,283.07,118.75,41.75,91.41,223.19,67.52,1896.03,417.13,55.5,168.67,74.42,284.55,90.96,533.25,77.99,206.47,72.0,112.85,14.87,16.03,54.86,297.79,179.15,45.13,255.69,232.86,140.23,30.81,220.0,66.06,116.29,303.52,48.31,30.98,173.3,107.77,250.79,46.0,96.72,123.0,39.85,8.85,124.12,85.9,33.08,200.29,64.75,89.35,97.54,61.9,6.04,137.0,652.99,69.59,38.25,17.07,284.57,198.25,93.76,216.41,153.82,190.1,95.38,65.9,262.5,27.82,117.6
2019-07-18,204.0,135.55,1980.01,200.15,49.28,57.05,44.25,132.61,323.76,307.21,118.99,286.18,177.13,170.125,282.2,117.49,41.98,90.33,221.69,66.63,1861.83,410.12,54.87,165.33,74.97,279.98,90.64,522.5,78.78,203.86,71.43,113.19,15.0,15.86,54.3,303.0,176.92,43.61,255.05,229.85,140.68,30.5,217.18,64.78,114.0,299.79,46.47,30.44,170.68,107.38,251.86,46.45,94.17,120.66,41.105,8.6,123.01,85.07,33.03,193.08,65.87,88.9,96.49,61.42,6.01,136.15,630.13,70.02,37.69,16.65,283.47,195.58,91.14,216.74,151.22,189.56,94.32,65.11,260.0,27.56,115.7
2019-07-17,204.05,137.7,2007.05,204.18,49.5,57.57,45.03,133.92,366.25,307.13,119.65,285.56,178.14,167.15,281.05,118.44,41.85,90.08,217.65,67.13,1887.75,416.59,54.77,164.46,78.57,280.9,91.58,516.52,79.23,203.45,73.345,114.01,14.91,15.68,55.69,302.3,176.93,43.0,255.67,231.53,143.94,30.84,213.97,66.21,115.94,297.26,46.26,30.39,170.65,106.91,257.07,46.92,94.11,121.26,39.99,8.87,122.79,85.84,34.01,190.45,65.3,89.75,97.0,61.37,6.05,137.87,632.95,72.53,37.39,16.21,281.68,197.15,90.79,217.5,152.22,190.33,94.03,65.47,253.92,27.78,116.66
2019-07-16,204.59,138.96,2010.58,203.89,49.91,58.13,44.83,134.08,370.09,308.0,121.1,286.99,176.34,166.67,281.0,118.5,42.03,90.22,205.4,68.07,1879.89,414.79,54.5,165.05,75.11,281.5,91.7,527.12,79.35,206.67,78.4,115.5,14.74,15.94,56.08,303.1,176.47,44.05,249.3,234.3,142.99,31.0,216.25,65.8,116.0,299.19,46.0,30.68,174.02,106.55,257.22,47.61,94.72,121.06,40.11,9.6,123.59,85.72,34.3,191.07,65.1,92.31,97.75,61.05,6.03,140.0,649.78,71.51,37.47,16.2,284.65,196.98,91.5,221.13,152.25,189.32,91.81,65.73,244.22,27.91,116.24
2019-07-15,204.09,139.44,2021.4,204.25,50.0,58.0,44.87,133.6,372.94,310.0,120.77,291.1035,174.9,168.46,279.94,118.5,41.41,89.87,208.32,66.98,1881.89,415.73,54.58,165.48,75.15,282.0,91.85,529.03,79.67,207.51,78.53,115.01,14.53,16.27,55.96,305.17,176.16,44.69,248.0,232.53,142.08,31.36,221.66,65.9,116.9,292.98,46.85,30.87,174.9,106.17,261.17,47.26,94.94,120.69,40.09,9.69,120.72,85.91,33.34,192.36,65.22,92.75,97.23,60.83,6.06,139.46,649.25,72.16,37.55,16.57,283.57,197.01,92.1,220.14,152.3,189.72,91.6,65.61,242.0,28.25,118.86
2019-07-12,202.45,138.85,2008.27,199.68,49.0,57.58,44.07,134.0,378.68,308.01,120.92,276.38,177.82,167.4,276.5,117.65,41.54,89.28,208.04,66.17,1878.02,411.5,54.79,164.95,74.25,278.41,92.47,531.21,78.2,207.01,77.48,114.85,14.5683,16.47,56.25,310.25,176.06,43.75,239.75,230.89,142.23,30.69,223.76,65.57,114.22,292.12,45.36,30.65,174.46,103.51,264.79,47.63,93.87,118.37,39.7,9.61,121.53,85.66,32.76,186.47,64.88,93.68,94.66,61.25,6.07,140.59,633.85,71.09,37.71,16.47,284.02,196.52,90.31,218.68,151.65,185.0,89.7,65.53,240.66,27.98,119.81
2019-07-11,203.31,138.2,2025.62,203.26,48.56,57.37,43.81,134.21,381.1,307.39,120.17,275.24,180.86,163.0,272.33,116.6,42.92,88.66,209.61,67.01,1875.45,408.15,55.8,164.88,74.52,275.95,93.56,534.09,78.73,203.67,76.64,114.69,14.47,16.62,56.56,371.31,178.81,43.22,238.14,231.8,142.25,30.79,219.5,64.35,114.27,296.99,45.07,31.43,173.11,103.0,263.9,46.92,93.8,118.52,39.86,9.52,124.2,85.54,33.91,185.74,65.1,93.79,96.3,61.0,6.03,141.56,632.21,70.55,37.96,16.47,290.0,197.18,89.25,219.68,150.26,183.71,89.51,64.95,239.24,27.81,120.05
2019-07-10,201.85,137.13,1996.51,200.0,47.92,56.69,44.04,132.4,382.77,305.1,119.11,277.86,182.17,159.06,270.05,116.62,43.6,87.42,207.5,68.0,1890.52,404.34,55.56,164.28,76.83,273.06,93.67,530.0,77.96,202.16,76.9,116.16,14.47,16.58,55.78,376.5,179.0,42.23,234.15,233.88,139.43,30.99,219.32,64.58,114.68,308.15,44.5,30.6,172.51,102.59,261.39,46.9,94.36,118.31,40.19,9.52,125.62,85.34,33.56,185.35,64.96,92.16,96.84,61.14,5.99,141.14,646.0,70.98,38.46,16.27,278.2,195.58,90.01,218.97,149.87,187.0,90.31,64.87,239.34,28.28,120.69
2019-07-09,199.2,136.0,1947.8,194.97,47.36,56.37,42.56,133.0,379.06,300.56,116.37,273.45,181.21,155.51,269.36,114.6,43.17,87.29,205.89,67.18,1873.0,397.92,55.3,163.16,76.44,269.92,93.15,529.01,75.35,201.3,76.98,112.35,14.9,16.5,55.35,372.65,175.62,40.13,228.97,229.49,138.63,30.38,214.0,63.84,111.76,300.92,43.23,30.6,168.77,101.5,254.49,46.17,92.82,114.83,39.58,9.38,124.5,84.57,31.76,180.09,65.7,92.5,95.05,60.82,5.89,137.08,626.83,70.45,36.68,15.74,269.63,193.68,87.16,215.27,148.52,184.93,90.38,64.47,237.15,27.81,119.69
2019-07-08,200.81,136.4,1934.12,195.19,47.62,56.25,43.18,133.1,378.19,302.76,116.34,280.0,184.66,157.83,268.33,115.19,43.08,87.6,208.57,68.27,1918.73,399.87,55.5,164.58,75.98,269.46,93.49,534.63,76.37,202.51,78.1,114.99,15.0248,16.69,55.17,377.59,177.76,39.03,231.24,234.25,141.74,30.4,213.89,64.41,112.19,305.1,43.16,30.99,170.75,100.78,260.31,47.8,94.1,114.95,39.71,9.45,129.47,85.03,31.8,179.2,65.89,93.44,95.69,60.56,5.88,134.45,635.71,70.36,38.04,15.87,270.5,194.5,88.3,216.16,148.82,181.86,90.16,64.25,238.61,28.24,119.44
