Ticker,Date,PE,PB,PS,divyield,fcfyield,mcap
AAPL,2019-08-01,17.7482,9.7918,3.7836,0.014777,0.062082,941932.6874
AAPL,2019-07-31,18.1407,10.0084,3.8673,0.014457,0.060738,962766.1072
AAPL,2019-07-30,17.778,9.8083,3.79,0.014752000000000001,0.061978,960612.4385
AAPL,2019-07-29,17.8546,9.8505,3.8063,0.014689,0.061711999999999996,964753.406
AAPL,2019-07-26,17.6894,9.7594,3.7711,0.014825999999999999,0.062287999999999996,955827.3205
AAPL,2019-07-25,17.6281,9.7256,3.758,0.014878,0.062504,952514.5465
AAPL,2019-07-24,17.7686,9.8031,3.788,0.01476,0.06201,960106.3202
AAPL,2019-07-23,17.7831,9.8111,3.7911,0.014748,0.06196000000000001,960888.503
AAPL,2019-07-22,17.6451,9.735,3.7617,0.014863,0.062444,953434.7615
AAPL,2019-07-19,17.2509,9.5175,3.6776,0.015203,0.063871,932131.7843
AAPL,2019-07-18,17.5123,9.6617,3.7333,0.014976,0.062918,946257.0845
AAPL,2019-07-17,17.3156,9.5532,3.6914,0.015146,0.063633,935628.6012
AAPL,2019-07-16,17.4135,9.6072,3.7123,0.015061,0.063275,940919.8375
AAPL,2019-07-15,17.474,9.6405,3.7252,0.015009,0.063056,944186.6007
AAPL,2019-07-12,17.3113,9.5508,3.6905,0.015149999999999999,0.063648,935398.5475
AAPL,2019-07-11,17.1794,9.478,3.6624,0.015266,0.064137,928266.8812
AAPL,2019-07-10,17.3054,9.5475,3.6892,0.015154999999999998,0.06367,935076.4722
AAPL,2019-07-09,17.1359,9.454,3.6531,0.015305,0.0643,925920.333
AAPL,2019-07-08,17.032,9.3967,3.631,0.015398,0.064692,920307.0215
AAPL,2019-07-05,17.3905,9.5945,3.7074,0.015081,0.063358,939677.5472
AAPL,2019-07-03,17.4059,9.603,3.7107,0.015068,0.063303,940505.7407
AAPL,2019-07-02,17.2628,9.524,3.6802,0.015193000000000002,0.063827,932775.9347
AAPL,2019-07-01,17.1623,9.4686,3.6587,0.015282,0.064201,927346.6663
AAPL,2019-06-28,16.8532,9.2981,3.5928,0.015562,0.06537799999999999,910644.7640000001
AAPL,2019-06-27,16.8192,8.693200000000001,3.6836,0.015419999999999998,0.064783,919018.7205
AAPL,2019-06-26,16.8243,8.6958,3.6847,0.015415000000000002,0.064763,919294.785
AAPL,2019-06-25,16.4681,8.5117,3.6067,0.015749,0.066164,899832.2377
