Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,941932.6874,1054144.6218,917745.1977,549849.1495,219285.0,237109.8013,194888.9726,177763.2706,139888.2448,144874.3441,130375.636,113586.3142,111544.4273,100436.28,120752.9168,115255.3812,104794.0674,114169.86,94258.0209,82950.49,81381.6678,95052.3425,77342.5314,71507.9993,86554.8301,72059.2913,65948.3742,60387.0362,67766.9885,71809.7954,54100.3563,38225.172,45939.2583,48984.3706,48832.967000000004,44344.02,54.3094,4.8857,41888.9048,44831.7408,45576.1817,98.0029,46072.36,1.2046,42322.87,33925.5252,45373.0059,39684.6093,33705.0169,37771.5241,28783.487999999998,38445.8772,71120.8599,28660.5341,1.3625,29523.2781,25765.9106,30141.9015,32414.4143,30848.8826,34495.3454,28035.5448,1.0,31271.5431,0.0,34693.7016,30895.5825,23596.882,43.8929,29696.0915,16188.9899,25335.4603,21803.9827,25189.5293,0.6539,24159.6032,23248.8237,25683.5213,26547.2177,20769.6852,16866.6151
2019-07-31,962766.1072,1041511.61,923413.9557,554128.5752,223936.5,237152.6086,196207.0183,178700.0442,141416.2885,145078.2284,129904.9658,115437.3563,111892.254,102750.48,121219.0933,116711.8283,104418.4614,113343.93,94841.1743,83013.84,81673.8844,95299.63,77140.6303,72474.20599999999,88940.5334,71890.7831,65104.9721,59875.310999999994,68125.8604,69597.5096,56191.5769,39096.7101,46137.8203,48502.5468,49212.2873,44008.86,50.4714,5.0302,43278.9322,43865.2374,46305.4273,102.2406,45195.48,1.2281,43432.1537,33413.5122,46215.5003,39050.2411,34297.9898,38668.6753,29535.8971,37335.1675,71644.1072,28849.9877,1.3596,29150.4596,25402.662999999997,29843.6447,32934.742,31276.1732,35044.3574,27413.1912,0.9672,30679.6689,0.0,33777.6645,30647.5103,24289.482000000004,45.7857,28487.2241,16727.4228,25229.4867,22475.2407,24987.1134,0.6591,24894.3573,23613.6522,25835.9219,26691.7244,21736.0576,17043.2129
2019-07-30,960612.4385,1072695.05,939119.2842,562145.3661,229031.0,241732.99300000002,200342.955,182433.1568,142703.5231,147398.6257,131834.7135,119246.9204,106222.9,106849.05,122921.0775,120597.0212,105344.9562,115690.05,97195.0708,85003.03,82971.7589,97569.7286,78950.2846,71812.6591,90946.4367,72489.6353,65636.5281,61273.3351,69467.358,70632.0575,56039.9235,39464.2262,47595.1827,49225.2669,50034.1479,44094.12,51.3559,5.3182,43395.3649,44545.8476,46888.1577,103.9885,46549.22,1.2246,44726.318,34111.9111,47488.602999999996,38842.8515,35202.8225,38781.731,29786.7001,36990.4645,70611.2034,30188.7928,1.3533,29582.5176,25662.7662,30954.0223,36633.8165,31682.4741,35609.6766,26248.501,0.9453,31184.0486,0.0,33025.5498,31257.0872,24576.911,46.0579,29801.2104,16260.9943,25522.8528,23086.99,25323.2894,0.6577,24982.9447,24132.6336,26160.776,26938.7182,21875.1566,16964.0484
2019-07-29,964753.406,1077892.29,946004.8959,559007.1206,232619.3,243702.1301,201024.7028,183901.2347,145667.6652,149136.4965,131140.475,120114.7208,107397.4749,106465.38,123198.1447,121938.656,107748.8344,118721.82400000001,98314.5551,86300.4156,83099.9013,97344.69699999999,79022.3064,73079.1733,91140.9485,72938.1264,65582.0843,61039.3707,70390.1716,71466.1394,55568.9998,39709.2369,47789.4102,49385.8713,49781.2677,44748.27,50.3533,5.2465,42232.8291,43734.2799,47028.013,107.4431,48025.0,1.2114,44818.7583,33553.8498,47432.4368,38745.2564,35747.479,38843.7292,29535.8971,37113.0255,71107.269,30451.5018,1.3471,30040.519,25194.132,30986.3634,36211.9922,31607.5108,35544.4475,26337.4087,0.9594,31384.7712,0.0,33519.7277,32224.2232,24763.912999999997,46.2585,30151.6068,15684.9591,25764.5244,23417.8583,25513.8681,0.6554,25024.6329,24006.7421,26224.9447,26717.3462,21794.6256,17032.5562
2019-07-26,955827.3205,1080261.62,961141.3699,569876.8620000001,228543.7,241989.8369,202842.697,183467.8022,147016.1967,151102.5234,135894.2437,119788.3005,106946.1225,106617.63,123743.4833,120240.5029,106071.1277,120042.03199999999,98263.476,85092.4387,85147.5819,98615.7544,78950.2846,73671.0837,91444.8732,73565.4954,65419.8746,60811.1689,71988.0063,71978.0437,55042.2037,39978.7487,46704.9661,48850.5231,49718.0476,44232.3,50.5351,5.3216,40617.407999999996,43937.1718,46708.3437,107.7683,48791.14,1.2048,45036.9174,33898.1155,47497.9641,38855.0509,36893.8932,38960.4318,30577.4975,36760.6624,40201.1221,30507.0748,1.3582,30057.968999999997,25703.127,31112.1343,36796.0566,31597.016,35441.168,26527.0783,0.9769,31142.8748,0.0,35204.7539,32289.3236,24819.321,45.9989,29888.8095,15908.1727,25741.2619,23353.5889,25636.9748,0.6557,24831.8251,23986.1883,26253.0185,26819.8332,21992.2927,17125.4223
2019-07-25,952514.5465,1071472.17,971774.3061,572615.6945,233520.32,242375.1029,202751.7973,180349.8842,142935.5756,149869.509,135496.24,119577.3215,106195.9016,105588.42,123053.0142,119480.5559,105244.7946,110194.976,97922.9484,84329.5058,83384.7583,101057.8343,78374.1103,72709.2293,91602.9141,73002.9372,65003.7714,61279.0978,68267.3536,72189.24900000001,55473.2187,40066.2525,47006.4186,43845.0175,49456.136,43894.2,51.361999999999995,5.353,40756.3379,43937.1718,46858.1887,108.6204,48592.26,1.2162,45177.4267,33266.5962,47572.8525,38489.0693,37317.759,38482.6806,30720.8135,36147.8571,37815.5028,32026.6736,1.3722,29741.1135,26465.4984,30695.2935,36417.4963,31597.016,34875.8487,26423.3527,0.9826,30978.1794,0.0,32425.3044,32180.3297,24819.321,47.2916,29853.7699,16072.9828,25414.2944,23339.3068,25725.728,0.6657,24909.9904,24132.6336,25944.2066,26932.4404,21640.8845,17306.5873
2019-07-24,960106.3202,1075522.96,985062.3407,584242.9024,236922.84,244986.35,203655.5526,180657.4815,139205.2224,150617.0847,142519.3745,120922.8102,107208.3948,108803.94,123505.9971,121028.5961,106171.2893,109795.28,99629.8427,84736.4033,83086.9139,102097.0727,78388.5147,72774.5135,92235.0775,72940.7188,63431.0427,62587.2243,68865.3657,72182.0895,55249.7294,40734.7818,47771.4757,43898.5523,49853.5192,44689.47,52.507,5.3776,47179.1748,44496.0469,46548.5091,109.8798,48497.34,1.2165,46087.0393,34386.0081,48808.511,39123.4374,38106.1933,38639.4997,31370.854,35895.0749,36956.0595,33168.7801,1.3649,29029.8749,27124.7254,30558.465,36893.4007,32531.0583,35191.1229,26607.0952,0.9479,31117.1411,0.0,32627.7968,32550.2186,24982.082000000002,47.2316,30396.8842,22014.1461,25482.7896,23765.389,25843.7196,0.6633,25040.266,24435.8009,25992.3331,27051.2175,21714.0945,17241.1243
2019-07-23,960888.503,1064593.47,981950.8039,577677.0924,231684.75,247041.1019,201159.2175,182796.6808,134546.6592,149456.886,141250.4468,119732.5702,107354.7794,106976.94,123184.951,112650.415,106697.1377,109141.23199999999,97991.0539,84431.2302,82264.3783,101563.7465,78921.4759,73079.1733,90107.6044,73080.7102,63346.4115,61982.1437,66755.2373,73510.1769,55824.416,40300.7628,48077.3989,43363.2041,49356.7903,44782.08,53.0826,5.2611,46340.2519,47286.7217,46848.1991,108.7946,47905.22,1.2145,44341.7663,33906.8866,47769.4345,38977.0448,37278.2275,38697.851,31358.057999999997,35175.0285,37399.5166,31948.8598,1.3649,29549.0033,27451.1197,30403.966,36222.8082,31448.5887,34843.2342,26144.7755,0.9907,31091.4075,0.0,32316.8263,31308.8716,23974.349,47.8424,30291.7653,21838.1353,25413.002,22748.9807,25712.6179,0.6631,24631.2007,24389.5551,26168.7971,26935.5389,21413.9334,17615.6335
2019-07-22,953434.7615,1058020.49,977588.7444,577562.9044,229893.95,247126.7166,199025.9857,182153.5229,136000.271,149782.13,139452.7993,117889.4895,107281.5871,104333.88,123215.7362,110877.2053,105620.4005,110122.304,96939.6752,82536.6138,81980.82,101645.9884,78705.4105,72744.0475,92332.3334,72886.2777,63099.5707,61718.2134,66345.1718,73792.9772,56606.6283,39096.7101,48773.7135,42602.9357,48715.5584,43847.16,52.7312,5.287999999999999,45540.5143,45076.3369,45306.4608,104.7572,48440.84,1.2204,43524.594000000005,32510.0887,47488.602999999996,38415.8729,37414.3916,38635.8527,31089.3404,34906.9262,37399.5166,31183.2719,1.3769,29417.009,27428.696,30213.537,35530.5838,31066.2761,34533.3957,26121.0667,1.0128,31245.8094,0.0,32610.9224,31391.7267,23960.0238,45.272,30379.3644,21958.9427,25283.7659,22270.5308,25736.4545,0.6644,24459.237,24106.9414,26168.7971,26753.7584,20430.6226,17548.6481
2019-07-19,932131.7843,1044186.66,967195.6206,566258.2924,225058.79,245542.8453,199979.1319,181887.8706,137961.7713,148966.5929,139382.3033,115441.337,108806.4263,102579.96,123805.0538,110014.0556,105044.4714,109371.36,95185.9584,82701.9159,81478.2075,102126.9789,79065.5195,72448.0923,91177.4195,72411.8623,63614.4101,61050.4048,66148.6821,73331.1894,56119.7411,39289.2185,49294.9535,43057.2958,49167.1301,43100.4,52.7463,5.1008,45985.8025,44841.7259,45862.5521,105.8908,48418.24,1.2281,42810.9549,32684.4143,44755.1767,38476.8699,37183.7911,38880.1988,31194.2682,34577.5433,37434.8361,30799.222999999998,1.3927,29625.8236,27087.8555,30382.408,35162.8395,29755.9182,34386.6302,25931.3971,1.0208,31276.6898,0.0,32340.9325,30907.9121,24018.9192,44.8049,30151.6068,22498.1757,25314.7825,21972.9874,25530.2673,0.6604,24483.9893,24796.5597,26088.5862,26631.8828,20518.7489,17671.9621
