Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,9.7918,10.3117,17.2731,6.1969,2.9163,7.0629,2.536,12.7486,22.9117,14.6121,8.0805,5.1349,10.3753,0.0,8.3362,13.5956,,0.0,,3.6678,15.1485,2.4126,2.9823,13.2112,15.8744,17.7112,6.5591,8.3079,2.5129,2.7057,4.407,1.6096,,,2.0235,10.2364,13.2575,1.8291,7.3288,3.4678,36.755,0.5601,22.4759,3.4724,3.6043,3.4819999999999998,5.5906,0.77,0.0,11.5776,3.8972,3.2135,16.1512,10.9702,8.4282,,2.5348,11.5053,17.0584,6.3584,8.521,4.3179,3.525,2.5298,4.2301,61.3541,14.3984,2.4497,4.3668,1.8867,11.7645,2.5065,4.1231,,11.3357,17.6778,2.2599,3.0629,8.9098,1.0851,4.6058
2019-07-31,10.0084,10.177999999999999,17.3798,6.2452,2.9781,7.0642,2.5531,12.8158,23.1619,14.6327,8.0514,5.2186,10.4076,0.0,8.3684,13.7674,,0.0,,3.6706,15.2029,2.4189,2.9745,13.3897,16.3113,17.6698,6.4753,8.2375,2.5263,2.6223,4.5774,1.6429,,,2.0392,10.158999999999999,12.3206,1.8832,7.572,3.3930000000000002,37.3431,0.5843,22.0481,3.406,3.6988,3.4294,5.6944,0.7577,0.0,11.8526,3.9907,3.1206,16.27,11.0427,8.4467,,2.4991,11.3914,17.3954,6.4465,8.6566,4.2221,3.6445,2.4819,4.2234,59.7341,14.2828,2.5216,4.5551,1.8099,12.1558,2.496,4.25,,11.2467,18.2154,2.2953,3.0810000000000004,8.9583,1.1356,4.654
2019-07-30,9.8083,10.4827,17.6754,6.3355,3.0459,7.2006,2.6069,13.0835,23.3728,14.8667,8.171,5.3908,9.8426,0.0,8.4859,14.1561,,0.0,,3.7585,15.4445,2.4765,3.0479,13.2675,16.6792,17.8169,6.5281,8.4298,2.576,2.6613,4.565,1.6584,,,2.0733,10.1787,12.5365,1.9909999999999999,7.5923,3.4456,37.813,0.5943,22.7085,3.4159,3.8089999999999997,3.5011,5.8512,0.7536,0.0,11.8872,4.0248,3.0918,16.0354,11.5551,8.4856,,2.5247,11.8153,19.3492,6.5303,8.7962,4.0427,3.7289999999999996,2.5227,4.1694,58.403999999999996,14.5669,2.5514,4.5822,1.8934,11.8168,2.525,4.3657,,11.2704,18.2803,2.3458,3.1198,9.0412,1.1429,4.6324
2019-07-29,9.8505,10.5335,17.805,6.3001,3.0936,7.2593,2.6158,13.1888,23.8582,15.042,8.1279,5.43,9.8219,0.0,8.5051,14.3136,,0.0,,3.8022,15.4683,2.4708,3.0507,13.5015,16.7149,17.9272,6.5549,8.3976,2.6102,2.6927,4.5266,1.6707999999999998,,,2.0628,10.3297,12.2918,1.9642,7.3889,3.3829,37.9258,0.614,23.4285,3.4531,3.8169,3.4439,5.8443000000000005,0.7517,0.0,11.9062,3.9960000000000004,3.1021,16.1481,11.6557,8.5246,,2.4786,11.8276,19.1264,6.5148,8.780100000000001,4.0564,3.6741,2.5389,4.1559,59.278,15.0176,2.5708,4.6021,1.9156,11.3982,2.5489,4.4282,,11.3097,18.3108,2.3335,3.1274,8.9669,1.1387,4.6511
2019-07-26,9.7594,10.5566,18.0899,6.4226,3.0394,7.2083,2.6395,13.1577,24.0791,15.2403,8.4226,5.4153,9.7806,0.0,8.5427,14.1143,,0.0,,3.7489999999999997,15.8495,2.5031,3.0479,13.6108,16.7706,18.0814,6.5387,8.3662,2.6695,2.712,4.4837,1.6787,,,2.0602,10.2106,12.3361,1.9923,7.1467,3.3986,37.668,0.6159,23.8022,3.4719,3.8355,3.4792,5.8524,0.7539,0.0,11.942,4.1284,3.0726,15.787,11.677,8.4549,,2.5287,11.8756,19.4349,6.5127,8.7546,4.0856,3.6081,2.5194,4.1964,62.2578,15.0479,2.5766,4.5763,1.8989,11.5604,2.5466,4.4161,,11.3053,18.1697,2.3315,3.1308,9.0013,1.149,4.6764
2019-07-25,9.7256,10.4708,18.3763,6.4535,3.073,6.6352,2.6383,12.9341,23.4108,15.116,8.3956,5.4057,9.712,10.8809,8.495,14.0251,,0.0,,3.7154,15.5214,2.5452,3.0257,13.4331,16.7996,17.9431,6.4971,8.4306,2.532,2.72,4.5188,1.6808,,,2.0493,10.1325,12.538,2.004,7.1711,3.3986,37.7889,0.6208,23.7052,3.4395,3.8474,3.4144,5.8002,0.7468,0.0,11.7955,4.1438,3.0214,14.8703,12.3364,8.3687,,2.6037,11.7165,19.2349,6.5127,8.615,4.0696,3.5873,2.506,4.1424,57.3425,14.9971,2.5766,4.7049,1.8967,11.6802,2.5143,4.4134,,11.1355,18.2269,2.3458,3.094,8.9693,1.1306,4.7259
2019-07-24,9.8031,10.5103,18.6276,6.5805,3.1177,6.7067,2.6537,12.9562,22.7998,15.1914,8.8463,5.4665,9.8046,11.2123,8.526299999999999,14.2068,,0.0,,3.7333,15.4659,2.5714,3.0262,13.4452,16.9156,17.9278,6.3399,8.6105,2.5541,2.7197,4.5006,1.7088,,,2.0658,10.3161,12.8175,2.0132,8.3012,3.4418,37.5391,0.628,23.6589,3.4384,3.9249,3.5293,5.9509,0.7591,0.0,11.8436,4.2314,3.0003,14.5324,12.7763,8.4138,,2.6685,11.6658,19.4863,6.7052,8.6928,4.0979,3.7188,2.5173,4.1155,57.7006,15.1695,2.5935,4.6989,1.9312,15.9976,2.521,4.494,,11.1763,18.3222,2.3753,3.0997,9.0089,1.1345,4.708
2019-07-23,9.8111,10.4035,18.5688,6.5066,3.0488,6.7629,2.6211,13.1096,22.0368,15.0743,8.7675,5.4127,9.818,11.024000000000001,8.5041,13.2233,,0.0,,3.7199,15.3128,2.5579,3.0468,13.5015,16.5254,17.9622,6.3315,8.5273,2.4759,2.7698,4.5474,1.6923,,,2.0452,10.3375,12.958,1.9696,8.1536,3.4795,37.7808,0.6218,23.3701,3.4442,3.7763,3.4801,5.8242,0.7562,0.0,11.8615,4.2339,2.9401,14.7067,12.3064,8.4138,,2.7005,11.6068,19.1321,6.4821,8.6069,4.0267,3.5581,2.5152,4.075,57.1507,14.591,2.4889,4.7597000000000005,1.9245,15.8697,2.5141,4.3018,,11.1792,18.0229,2.3708,3.1207,8.9704,1.1188,4.8103
2019-07-22,9.735,10.3393,18.4863,6.5053,3.0252,6.7653,2.5933,13.0635,22.2749,15.1071,8.6559,5.3294,9.8113,10.7516,8.5063,13.0152,,0.0,,3.6364,15.26,2.56,3.0385,13.4395,16.9334,17.9144,6.3068,8.491,2.4607,2.7804,4.6112,1.6421,,,2.0186,10.1217,12.8722,1.9797,8.0129,3.3168,36.5375,0.5987,23.6314,3.4275,3.7067,3.3367,5.7899,0.7454,0.0,11.8425,4.1987,2.9177,14.7067,12.0115,8.34,,2.6983,11.5341,18.7665,6.4033,8.5304,4.023,3.4805,2.5277,4.102,57.6708,14.6296,2.4864,4.504,1.9301,15.9575,2.5013,4.2113,,11.157,17.897100000000005,2.3433,3.1207,8.9098,1.0641,4.792
2019-07-19,9.5175,10.2041,18.2898,6.3779,2.9616,6.7219,2.6058,13.0444,22.5961,15.0249,8.6516,5.2187,9.9508,10.5709,8.547,12.9139,,0.0,,3.6437,15.1665,2.5721,3.0524,13.3849,16.7216,17.7978,6.3582,8.3849,2.4534,2.763,4.5715,1.6503,,,2.0373,9.9493,12.8759,1.9096,8.0913,3.2995,36.9859,0.6052,23.6203,3.406,3.6459,3.3546,5.4567,0.7465,0.0,11.9174,4.2131,2.8901,14.7206,11.8636,8.2457,,2.6648,11.5986,18.5723,6.1332,8.4941,3.9938,3.4530000000000003,2.5302,4.0885,57.1933,14.4041,2.4925,4.4575,1.9156,16.3494,2.5044,4.155,,11.2252,17.9152,2.3433,3.1112,8.8692,1.0687,4.8257
