Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,17.7482,29.0605,76.9842,24.0194,11.3417,20.0277,16.7155,23.3123,125.2941,56.2887,56.5467,27.2859,14.171,42.0404,33.6896,22.1989,,34.3577,,11.7235,20.3424,53.3059,21.6182,30.1222,11.1205,43.0267,12.9786,51.2518,18.4703,33.2897,16.7976,19.0407,,,10.652999999999999,55.3696,9.0767,1.3627,,9.0781,30.1246,4.123,,16.5592,19.7664,14.4269,15.431,9.6201,,24.086,23.3368,22.6245,36.3236,30.9462,18.942,,14.2012,29.2761,169.608,14.7947,32.4538,13.0624,16.124000000000002,24.8,27.4701,,2174.9924,10.033999999999999,1.5493,129.267,40.8651,27.4173,54.9494,43.7454,41.6521,46.2886,8.459,47.396,33.9595,11.6504,21.5921
2019-07-31,18.1407,28.6837,77.4598,24.2064,11.5823,20.0313,16.8285,23.4352,126.6627,56.3679,56.3426,27.7305,14.2152,43.0091,33.8196,22.4794,,34.1091,,11.7324,20.4155,53.4446,21.5617,30.5292,11.4267,42.9261,12.8127,50.8175,18.5681,32.2642,17.4469,19.4339,,,10.7358,54.9511,8.4353,1.403,,8.8824,30.6066,4.3013,,16.2425,20.2844,14.2092,15.7176,9.4663,,24.6581,23.8965,21.9709,36.5909,31.1508,18.9835,,14.001,28.9864,172.9593,14.9996,32.9703,12.7724,16.6706,24.3306,27.4263,,2157.5285,10.3285,1.6161,124.0048,42.2243,27.3026,56.641000000000005,43.3939,41.3252,47.6963,8.5917,47.6773,34.1443,12.1924,21.8181
2019-07-30,17.778,29.5425,78.7772,24.5566,11.8458,20.4182,17.1833,23.9247,127.8157,57.2695,57.1796,28.6457,13.4434,44.7246,34.2945,23.1142,,34.8152,,12.0136,20.7399,54.7177,22.0938,30.2505,11.6844,43.2837,12.9173,52.0041,18.9338,32.7438,17.3998,19.6174,,,10.915,55.0575,8.5831,1.4833,,9.0202,30.9918,4.3748000000000005,,16.2899,20.8889,14.5062,16.1505,9.416,,24.7302,24.1004,21.768,36.0633,32.5964,19.070999999999998,,14.1444,30.0648,192.3852,15.1945,33.5022,12.2297,17.0576,24.7306,27.0758,,2200.4416,10.4507,1.6257,129.7245,41.0469,27.6201,58.1827,43.9777,41.4124,47.86600000000001,8.7806,48.2768,34.4603,12.2705,21.7168
2019-07-29,17.8546,29.6856,79.3548,24.4195,12.0314,20.5845,17.2417,24.1173,130.4706,57.9447,56.8785,28.8541,13.4152,44.5641,34.3718,23.3713,,35.3087,,12.1532,20.7719,54.5915,22.114,30.784000000000002,11.7094,43.5515,12.9703,51.8055,19.1853,33.1304,17.2536,19.7647,,,10.8599,55.8743,8.4155,1.4633,,8.8558,31.0842,4.5201,,16.467,20.932,14.2688,16.1314,9.3924,,24.7698,23.9284,21.8401,36.3167,32.88,19.1586,,13.8861,30.0963,190.17,15.1585,33.4408,12.2712,16.805999999999997,24.8898,26.9882,,2268.5262,10.5303,1.6328,131.2498,39.5928,27.8816,59.0166,44.3087,41.5568,47.9459,8.7348,48.3952,34.1771,12.2253,21.8045
2019-07-26,17.6894,29.7509,80.6245,24.8943,11.8206,20.4398,17.3977,24.0604,131.6784,58.7086,58.9403,28.7757,13.3588,44.6278,34.5239,23.0458,,35.7013,,11.9831,21.2838,55.3043,22.0938,31.0334,11.7484,43.9261,12.9382,51.6118,19.6208,33.3677,17.09,19.8579,,,10.8461,55.2301,8.4459,1.4842,,8.8969,30.8729,4.5338,,16.5567,21.0339,14.4152,16.1537,9.419,,24.8442,24.7212,21.6328,35.5045,32.9401,19.0019,,14.1666,30.2184,193.2373,15.1535,33.3437,12.3595,16.5045,24.698,27.2511,,2273.1092,10.5538,1.6236000000000002,130.1059,40.1563,27.8565,58.8546,44.5225,41.5404,47.5765,8.7273,48.446999999999996,34.3082,12.3362,21.9234
2019-07-25,17.6281,29.5088,81.9012,25.014,11.9512,21.1303,17.3899,23.6515,128.0235,58.2295,58.7515,28.725,13.2651,36.3498,34.3313,22.9002,,32.7727,,11.8757,20.8431,56.2348,21.9326,30.6282,11.7687,43.5902,12.8559,52.00899999999999,18.61,33.4657,17.2239,19.8822,,,10.789000000000001,54.8079,8.5841,1.493,,8.8969,30.971999999999998,4.5697,,16.4021,21.0995,14.1467,13.6849,9.3303,,24.5395,24.8132,21.2722,33.443000000000005,34.8002,18.8083,,14.5868,29.8136,191.2492,15.1535,32.8118,12.3112,16.4094,24.5673,26.9006,,2265.4362,10.5538,1.6692,129.9533,40.5723,27.5026,58.8186,44.3724,40.9167,47.7263,8.7806,47.8771,34.1863,12.1391,22.1553
2019-07-24,17.7686,29.6204,83.0212,25.5062,12.1253,21.358,17.4912,23.6919,124.6824,58.5199,61.9054,29.0482,13.3916,37.4568,34.4577,23.1969,,32.6539,,11.933,20.7687,56.8131,21.9366,30.6557,11.8499,43.553000000000004,12.5449,53.1192,18.7731,33.4623,17.1545,20.2134,,,10.8756,55.8009,8.7755,1.4999,,9.0101,30.7673,4.6227,,16.397100000000002,21.5244,14.6227,14.0404,9.484,,24.6395,25.3375,21.1234,32.6829,36.0412,18.9097,,14.9502,29.6844,193.7485,15.6014,33.1084,12.3968,17.0108,24.6776,26.7253,,2291.4757,10.623,1.6671,132.3175,55.5693,27.5768,59.8924,44.5759,41.0665,47.9759,8.8909,47.9659,34.336999999999996,12.1801,22.0715
2019-07-23,17.7831,29.3194,82.7589,25.2196,11.8572,21.5371,17.2768,23.9724,120.5098,58.0692,61.3542,28.7623,13.4099,36.8278,34.3681,21.5911,,32.4593,,11.89,20.5631,56.5163,22.0858,30.784000000000002,11.5766,43.6366,12.5281,52.6056,18.1978,34.078,17.3329,20.0181,,,10.7673,55.9165,8.8717,1.4674,,9.1087,30.9654,4.577,,16.4246,20.7093,14.419,13.7415,9.4485,,24.6767,25.3526,20.6997,33.0751,34.7157,18.9097,,15.1294,29.5343,190.2268,15.0823,32.7811,12.1814,16.2756,24.6571,26.4624,,2204.0872,10.1945,1.6887,131.8599,55.125,27.5012,57.3309,44.3498,41.0774,47.1921,8.8741,48.2916,34.1902,12.0117,22.5509
2019-07-22,17.6451,29.1384,82.3913,25.2146,11.7656,21.5446,17.0936,23.8881,121.8118,58.1955,60.5734,28.3196,13.4007,35.9179,34.3767,21.2512,,32.7511,,11.6232,20.4922,56.5621,22.0253,30.6429,11.8624,43.5205,12.4793,52.3816,18.086,34.2091,17.5758,19.4251,,,10.6274,54.7492,8.812899999999997,1.4749,,8.6829,29.9463,4.4072,,16.3448,20.3276,13.825,13.6607,9.3125,,24.6372,25.142,20.5419,33.0751,33.8838,18.7438,,15.117,29.3494,186.5915,14.899,32.4896,12.1704,15.9208,24.7796,26.6377,,2209.92,10.1842,1.5979,132.2412,55.43,27.3614,56.1251,44.3909,40.9957,46.8626,8.7712,48.2916,33.9595,11.4245,22.4652
2019-07-19,17.2509,28.7574,81.5154,24.7211,11.5181,21.4065,17.1755,23.8532,123.5686,57.8787,60.5428,27.7315,13.5912,35.3141,34.5411,21.0858,,32.5278,,11.6465,20.3666,56.8298,22.1261,30.5182,11.7141,43.2372,12.5811,51.7272,18.0325,33.995,17.4246,19.5219,,,10.7259,53.8167,8.8155,1.4227,,8.6377,30.3139,4.4548,,16.2425,19.9943,13.8991,12.8744,9.3273,,24.793000000000003,25.2283,20.3481,33.1063,33.4665,18.5318,,14.9291,29.5134,184.6603,14.2705,32.3515,12.082,15.7951,24.8041,26.5501,,2175.8603,10.2092,1.5814,131.2498,56.7911,27.3949,55.3753,44.0352,41.2462,46.9101,8.7712,48.1435,33.8048,11.4738,22.623
