Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,3.7836,8.4177,3.6106,8.824300000000003,3.1808,4.7106,1.8857,2.7453,7.9146,14.4303,7.9723,5.3513,4.9507,9.8541,0.8063,7.7295,,4.5995,,3.7572,5.797000000000001,1.945,3.0394,5.0417,3.5403,10.6503,3.9984,14.8751,1.5211,15.3644,4.5313,2.4945,,,0.3725,13.027000000000001,45919.9986,48125.8273,1.6223999999999998,3.4004,2.2555,41598.0728,14.7742,2.3138,6.792000000000001,4.6432,3.1003,1.5476,12.2529,2.5004,2.6983,5.388999999999999,6.9365,8.9134,3.4756,,5.7097,7.9868,5.2187,3.2497,8.7053,5.6661,3.2310000000000003,2.6811,0.7719,28.3947,16.1472,0.9439,20639.9524,3.0362,7.3904,2.9763,3.9738,20.8716,10.077,7.1644,0.5709,5.9749,3.9776,2.2215,8.7441
2019-07-31,3.8673,8.3086,3.6329,8.892900000000003,3.2483,4.7115,1.8985,2.7597,8.001,14.4506,7.9436,5.4386,4.9661,10.0812,0.8094,7.8271,,4.5662,,3.7601,5.8179,1.95,3.0314,5.1098,3.6378,10.6254,3.9472,14.749,1.5291,14.890999999999998,4.7064,2.5460000000000003,,,0.3754,12.9286,42674.941,49549.7337,1.6763,3.3271,2.2916,43488.2334,14.493,2.2695,6.97,4.5731,3.1579,1.5228000000000002,12.4685,2.5598,2.763,5.2333,6.9876000000000005,8.9724,3.4832,,5.6292,7.9078,5.3219,3.2947,8.8439,5.5403,3.3405,2.6304,0.7732,27.6449,16.0176,0.9716,21575.3645,2.9126,7.6362,2.9638,4.0962,20.7039,9.9979,7.3823,0.5799,6.0104,3.9993,2.3249,8.8356
2019-07-30,3.79,8.5573,3.6947,9.0216,3.3222,4.8025,1.9385,2.8174,8.0738,14.6818,8.0616,5.617999999999999,4.6965,10.4833,0.8208,8.0481,,4.6607,,3.8502,5.9103,1.9965,3.1063,5.0632,3.7198,10.7139,3.9795,15.0934,1.5592,15.1124,4.6937,2.5701,,,0.3816,12.9536,43422.8154,52386.5084,1.6808,3.3787,2.3204,44229.758,14.9271,2.2762,7.1777,4.6687,3.2449,1.5148,12.7974,2.5673,2.7866,5.185,6.8868,9.3887,3.4993,,5.6869,8.202,5.9196,3.3375,8.9865,5.3049,3.418,2.6736,0.7832,27.0294,16.3362,0.9831,21702.6691,3.0469999999999997,7.4233,2.9983,4.2076,20.9825,10.019,7.4086,0.5926,6.0859,4.0363,2.3397,8.794599999999999
2019-07-29,3.8063,8.5988,3.7218,8.9712,3.3742,4.8416,1.9451,2.8401,8.2415,14.8549,8.0191,5.6589,4.6866,10.4457,0.8226,8.1377,,4.7268,,3.8949,5.9194,1.9919,3.1091,5.1524,3.7278,10.7802,3.9958,15.0358,1.5799,15.2909,4.6543,2.5894,,,0.3797,13.1458,42575.0537,51680.0742,1.6358,3.3171,2.3273,45640.1086,15.4004,2.3009,7.1925,4.5923,3.241,1.511,12.9954,2.5714,2.7667,5.2022,6.9352,9.4704,3.5154,,5.582999999999999,8.2106,5.8514,3.3296,8.9701,5.3229,3.3676,2.6909,0.7857,27.4338,16.8416,0.9906,21769.0889,3.0828,7.1603,3.0267,4.2679,21.1404,10.0539,7.4209,0.5895,6.1009,4.0031,2.3311,8.8301
2019-07-26,3.7711,8.6177,3.7813,9.1457,3.3151,4.8076,1.9627,2.8334,8.3178,15.0507,8.3098,5.6435,4.6669,10.4606,0.8263,8.0244,,4.7794,,3.8404,6.0653,2.0179,3.1063,5.1942,3.7402,10.873,3.9859,14.9796,1.6158,15.4004,4.6102,2.6016,,,0.3792,12.9942,42728.7265,52419.6225,1.5821,3.3325,2.3115,45872.7437,15.6461,2.3134,7.2275,4.6394,3.2455,1.5152,13.4122,2.5791,2.8584,5.1528,6.7801,9.4877,3.4866,,5.6958,8.2439,5.9458,3.3285,8.943999999999997,5.3612,3.3072,2.6701,0.7781,28.8129,16.8757,0.9928,21691.5992,3.0559,7.2622,3.0239,4.2562,21.2424,10.05,7.3637,0.589,6.1074,4.0185,2.3523,8.8782
2019-07-25,3.758,8.5476,3.8412,9.1896,3.3517,4.9832,1.9618,2.7852,8.087,14.9279,8.2832,5.6336,4.6342,9.8253,0.8216,7.9736,,4.3873,,3.806,5.9397,2.0519,3.0836,5.1264,3.7467,10.7898,3.9606,15.0948,1.5326,15.4456,4.6463,2.6048,,,0.3772,12.8949,43427.9378,52728.6874,1.5875,3.3325,2.3189,46279.8552,15.5823,2.2918,7.2501,4.553,3.1188,1.501,13.5662,2.5475,2.869,5.0669,6.3865,10.0235,3.4511,,5.8648,8.1334,5.8846,3.3285,8.8013,5.3403,3.2881,2.656,0.7883,26.5381,16.8187,0.9928,22322.5872,3.0523,7.3375,2.9855,4.2536,21.1708,9.8991,7.3869,0.5926,6.0356,4.0042,2.3147,8.9722
2019-07-24,3.788,8.5799,3.8937,9.3705,3.4006,5.0369,1.9732,2.79,7.8759,15.0023,8.7278,5.697,4.6784,10.1245,0.8247,8.077,,4.3714,,3.8243,5.9185,2.073,3.0842,5.131,3.7725,10.7806,3.8647,15.4171,1.546,15.444,4.6275,2.6482,,,0.3803,13.1285,44396.0765,52971.5242,1.8377,3.3749,2.3036,46817.824,15.5519,2.2911,7.3961,4.7062,3.1998,1.5257,13.8529,2.5579,2.9297,5.0314,6.2413,10.3809,3.4697,,6.0109,8.0982,5.9615,3.4269,8.8809,5.3774,3.4087,2.6679,0.7934,26.7038,17.012,0.9993,22294.9123,3.1079,10.0497,2.9936,4.3313,21.2679,9.9353,7.4256,0.6001,6.0468,4.0219,2.3225,8.9382
2019-07-23,3.7911,8.4927,3.8814,9.2652,3.3254,5.0791,1.949,2.823,7.6123,14.8868,8.6501,5.6409,4.6848,9.9545,0.8225,7.5178,,4.3454,,3.8106,5.8599,2.0621,3.1051,5.1524,3.6855,10.8013,3.8596,15.267999999999999,1.4986,15.7282,4.6757,2.6226000000000003,,,0.3765,13.1557,44882.7071,51823.5686,1.805,3.4118,2.3184,46308.9346,15.362,2.295,7.1160000000000005,4.6406,3.1317,1.52,13.5519,2.5617,2.9314,4.9305,6.3162,9.9991,3.4697,,6.0829,8.0573,5.8532,3.3129,8.7931,5.284,3.2613,2.6657,0.8013,26.4493,16.3632,0.9590000000000001,22560.5915,3.0971,9.9693,2.9854000000000003,4.146,21.16,9.937999999999999,7.3043,0.5989,6.0878,4.0047,2.2904,9.1324
2019-07-22,3.7617,8.4403,3.8642,9.2633,3.2997,5.0809,1.9284,2.8131,7.6946,14.9192,8.54,5.5541,4.6816,9.7085,0.8227,7.3995,,4.3844,,3.7251,5.8397,2.0638,3.0966,5.1288,3.7765,10.7726,3.8446,15.203,1.4894,15.7887,4.7412,2.5449,,,0.3716,12.8811,44585.6063,52088.4815,1.7739,3.2523,2.2421,44578.7107,15.5337,2.2838,6.9848,4.4495000000000005,3.1133,1.4981,13.6014,2.5576,2.9071,4.8929,6.3162,9.7595,3.4393,,6.0779,8.0068,5.7413,3.2726,8.7149,5.2792,3.1903,2.6789,0.7961,26.69,16.4065,0.958,21342.8952,3.1061,10.0245,2.9702,4.0588,21.1796,9.9182,7.2533,0.5920000000000001,6.0878,3.9776,2.1784,9.0976
2019-07-19,3.6776,8.3299,3.8231,9.082,3.2303,5.0483,1.9376,2.8089999999999997,7.8056,14.838,8.5357,5.4387,4.7481,9.5453,0.8267,7.3419,,4.3545,,3.7325,5.8039,2.0736,3.1108,5.1080000000000005,3.7293,10.7025,3.8759,15.0131,1.485,15.6899,4.7004,2.5576,,,0.375,12.6617,44598.4124,50245.1298,1.7912,3.2354,2.2696,45058.5207,15.5265,2.2695,6.8703,4.4733,2.9341,1.5005,13.5175,2.5738,2.917,4.8468,6.3222,9.6393,3.4004,,6.0024,8.0516,5.6819,3.1346,8.6779,5.2408,3.165,2.6816,0.7987,26.4691,16.1537,0.9604,21121.4959,3.0828,10.2707,2.9738,4.0046,21.0099,9.9788,7.2606,0.5920000000000001,6.0691,3.9595,2.1878,9.1616
