Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,11448840000.0,5637835000.0,8824539000.0,3463501000.0,1717992000.0,1062461000.0,752747600.0,793456000.0,2118027000.0,964357100.0,1047387000.0,633433400.0,650904100.0,1761906000.0,729212300.0,997937600.0,57372350.0,802790700.0,187528300.0,543749000.0,450818600.0,538548900.0,495069900.0,676960600.0,2118608000.0,355490900.0,478680100.0,324023900.0,378591900.0,503210000.0,537847700.0,575426700.0,9733.28,78224780.0,324227100.0,376574300.0,558543000.0,1682113000.0,1967595000.0,453120300.0,175232300.0,665397800.0,342709200.0,412321700.0,345115200.0,218258200.0,548378000.0,352759000.0,417674600.0,165960500.0,160579900.0,549260700.0,676142100.0,613384700.0,443313100.0,55156380.0,254456100.0,185698100.0,2462966000.0,628073200.0,184936900.0,558770100.0,685486800.0,347602900.0,175039000.0,235432500.0,288353300.0,121680900.0,168881800.0,414033900.0,379723800.0,119945800.0,244015000.0,155368700.0,127547200.0,310861300.0,229326200.0,189836400.0,145909000.0,177896200.0,146413800.0
2019-07-31,15041350000.0,5318948000.0,8412635000.0,2859812000.0,1233546000.0,975907100.0,803017400.0,739818700.0,2043551000.0,923808200.0,1118742000.0,609923800.0,1320321000.0,1536027000.0,523264000.0,832638800.0,39904860.0,943703000.0,116803700.0,681296900.0,510916800.0,850810700.0,569997300.0,702369000.0,1035120000.0,319796000.0,516360400.0,311067000.0,368886500.0,425761100.0,466372500.0,314403200.0,15988.91,99565220.0,363070300.0,525986700.0,244998200.0,1574727000.0,2233428000.0,256760900.0,217028000.0,357029900.0,438272700.0,365377400.0,291261900.0,212422400.0,414857100.0,348054900.0,264150700.0,157672000.0,126786500.0,429670900.0,928804400.0,592214200.0,363836900.0,37918440.0,286993000.0,239163600.0,3702906000.0,557700000.0,175350400.0,1046141000.0,519342500.0,367487400.0,178393100.0,287301400.0,267638100.0,144764400.0,98997210.0,556770700.0,629085500.0,278987800.0,250378400.0,136786900.0,187757500.0,241192500.0,196758200.0,136115500.0,229178700.0,172074900.0,137737200.0
2019-07-30,7127206000.0,2368060000.0,5524939000.0,2341737000.0,856121200.0,544497500.0,454889200.0,441102600.0,1965102000.0,656215600.0,942784600.0,334528700.0,353442000.0,862341300.0,273564200.0,447372500.0,57372500.0,704455400.0,106280600.0,449504400.0,399877100.0,362743300.0,301984500.0,321365500.0,553498000.0,214727500.0,273755300.0,216800400.0,431198100.0,234400600.0,316101700.0,334305600.0,181876.8,69127590.0,153407100.0,704356700.0,397458800.0,1003339000.0,1941752000.0,292348700.0,133255600.0,258454800.0,475679000.0,181380100.0,140593800.0,159527400.0,236649000.0,129202700.0,167515900.0,129606800.0,136705700.0,235497900.0,1195896000.0,288241400.0,261728700.0,47929310.0,353429400.0,188537100.0,2399117000.0,201739700.0,137544700.0,500911300.0,541367600.0,141223000.0,186311200.0,162541400.0,297358300.0,87668160.0,80772300.0,250118300.0,460348100.0,106468000.0,203627300.0,103461200.0,105020900.0,206360100.0,160416400.0,83327000.0,106806900.0,142565000.0,107322700.0
2019-07-29,4547129000.0,2335647000.0,8568116000.0,3246060000.0,1139420000.0,685446000.0,435805300.0,596180500.0,1918013000.0,850640100.0,1548392000.0,363040200.0,349939300.0,1079067000.0,352491000.0,786585700.0,100962000.0,1097196000.0,75050780.0,377181700.0,586766100.0,290373300.0,267304500.0,179175700.0,619464400.0,356129700.0,305177500.0,189866400.0,483670800.0,258949100.0,291149100.0,288434000.0,53261.13,135166400.0,154066100.0,340125500.0,226992000.0,1021201000.0,2143996000.0,209505300.0,157173400.0,321125200.0,322449200.0,156130000.0,205899100.0,211967000.0,226383700.0,141650900.0,313033800.0,112959200.0,212718900.0,227757500.0,4299844000.0,333981400.0,325811400.0,47738520.0,617085400.0,113096300.0,1534385000.0,229559800.0,143472300.0,455379700.0,420472500.0,173481600.0,210580500.0,401969800.0,203823900.0,87488440.0,66343620.0,216195600.0,611811900.0,118622600.0,168820300.0,104925800.0,79128750.0,160796700.0,183101100.0,108216000.0,99504540.0,137054000.0,134368300.0
2019-07-26,3667540000.0,2687879000.0,9550594000.0,4868170000.0,1899623000.0,861551700.0,759650400.0,599642700.0,3604921000.0,469246800.0,921075200.0,451961900.0,535691400.0,1204255000.0,406874700.0,677241700.0,53024460.0,2043486000.0,92618470.0,319333100.0,748849200.0,630702700.0,202956400.0,175045600.0,622876000.0,223910000.0,329709700.0,242307400.0,1030482000.0,239329600.0,401480900.0,191774100.0,32989.97,190108800.0,165487700.0,272571600.0,274211600.0,933974500.0,2262778000.0,365096500.0,173534900.0,177213400.0,197434500.0,113489700.0,167686200.0,292192000.0,291162500.0,119168000.0,195640700.0,134425600.0,120705200.0,279453000.0,2268401000.0,715769100.0,345569800.0,35474240.0,393388200.0,96215050.0,1488476000.0,237800800.0,111269000.0,204623100.0,300184500.0,427256800.0,121625800.0,646728000.0,260676700.0,105454300.0,159423400.0,194351200.0,588085800.0,95549780.0,114980000.0,171134200.0,101962600.0,171526200.0,157782200.0,73014640.0,203214000.0,148900400.0,104696700.0
2019-07-25,2890304000.0,2571960000.0,8169786000.0,8038717000.0,1458995000.0,857256500.0,1146615000.0,429987600.0,3492874000.0,424983100.0,2244360000.0,473028400.0,374833600.0,1711581000.0,448327900.0,1083813000.0,77393220.0,743120700.0,120541600.0,269905400.0,476829700.0,501325800.0,191130600.0,218241800.0,550946400.0,244184100.0,462959300.0,311614800.0,443218700.0,169512500.0,433441400.0,238323900.0,14153.82,88299270.0,168422200.0,250312900.0,303124400.0,1349454000.0,5136786000.0,222892400.0,196409800.0,236517300.0,214685000.0,160266700.0,327028700.0,207397500.0,424022600.0,183337800.0,269664400.0,179562800.0,126794100.0,204468200.0,680710600.0,956457900.0,214622300.0,49955620.0,341048200.0,147114000.0,1244436000.0,441051200.0,87027370.0,256390400.0,416875600.0,176943800.0,204443800.0,212395200.0,366770600.0,122520600.0,122483500.0,268428300.0,1951956000.0,85315120.0,163843300.0,103573300.0,95377830.0,195160000.0,300947300.0,78574490.0,110792200.0,184447500.0,128605500.0
2019-07-24,3120984000.0,2904212000.0,5232973000.0,6617012000.0,1098694000.0,1040859000.0,787804000.0,604155000.0,3763754000.0,451070300.0,1071591000.0,576493100.0,333088300.0,1622638000.0,352383600.0,2127508000.0,68420280.0,486966600.0,183276600.0,305124400.0,405527500.0,259542900.0,301880400.0,344603200.0,1059520000.0,397728500.0,350162900.0,342914800.0,818186400.0,354294200.0,534732400.0,442201500.0,16139.41,61979330.0,219375400.0,282346800.0,196769900.0,1586099000.0,2831864000.0,378214500.0,240878600.0,383774800.0,203518800.0,273940100.0,524585700.0,355190400.0,586542700.0,223821000.0,187283400.0,167391800.0,84298380.0,170655200.0,336133300.0,827368000.0,262075600.0,78800100.0,425207500.0,137254900.0,1429079000.0,678913000.0,115002300.0,190687300.0,710604100.0,158460300.0,87136540.0,159185800.0,378800000.0,180303700.0,128539900.0,193939000.0,600170800.0,71750690.0,404425200.0,108448300.0,97082140.0,204198000.0,222839600.0,105680400.0,147430800.0,206512500.0,309756600.0
2019-07-23,3819870000.0,2504797000.0,5373741000.0,2949945000.0,950469600.0,732781400.0,734242700.0,543038300.0,2829698000.0,561231600.0,599701400.0,592071000.0,366499100.0,1865427000.0,312914700.0,864767900.0,70661730.0,683663400.0,191528400.0,516696000.0,416657000.0,311030400.0,304571500.0,156697700.0,1067318000.0,350019700.0,537229800.0,360893800.0,272873400.0,206569500.0,480198000.0,506963800.0,58025.12,72717540.0,249819900.0,436364000.0,145033600.0,1372478000.0,1295955000.0,801369500.0,318474600.0,351130800.0,252928800.0,226294600.0,275530400.0,303410700.0,511628600.0,214634100.0,161294100.0,138248900.0,91948180.0,172367000.0,312269500.0,385274700.0,357927000.0,59042680.0,188877500.0,169512000.0,1280053000.0,406855300.0,161311300.0,214326900.0,309690000.0,175175900.0,97340600.0,186540200.0,262912000.0,238695100.0,265497500.0,263849100.0,246431200.0,53708520.0,167570800.0,142530100.0,124817400.0,196296900.0,199104500.0,68254660.0,139862300.0,285956300.0,121997000.0
2019-07-22,4594703000.0,3470677000.0,5739984000.0,2735210000.0,1108051000.0,605359400.0,752803600.0,574817700.0,5486701000.0,412643400.0,673820200.0,1006245000.0,450861400.0,1349198000.0,410246600.0,456753700.0,96409520.0,512141400.0,178681600.0,410366600.0,530684400.0,271953700.0,221626500.0,238292000.0,733052500.0,203293800.0,237404000.0,349255600.0,365257700.0,197963300.0,404528700.0,260849600.0,87976.96,54205250.0,212761900.0,364874400.0,194775400.0,2162290000.0,1765415000.0,297572700.0,272080600.0,204883700.0,212049900.0,215696100.0,196054500.0,180831600.0,1086310000.0,242801200.0,183198600.0,202346000.0,99246870.0,170803400.0,355533300.0,257527700.0,391478600.0,96247260.0,206316100.0,146554400.0,1246650000.0,486302300.0,120250300.0,282692900.0,215032700.0,180941700.0,122706100.0,148745600.0,201331300.0,159788500.0,99464300.0,244589100.0,221081900.0,63755010.0,143103700.0,187780100.0,84552720.0,182235200.0,217281400.0,136989400.0,178923500.0,171999400.0,83812660.0
2019-07-19,4274991000.0,6778485000.0,6308111000.0,2421708000.0,1467612000.0,800494100.0,811525800.0,657920100.0,5219663000.0,647909600.0,587353700.0,641443000.0,535976400.0,1468121000.0,454505700.0,658072300.0,141324700.0,979931300.0,176989300.0,583082100.0,374369600.0,337500100.0,299652000.0,240069500.0,1088105000.0,448573200.0,281639900.0,761209800.0,411265600.0,169441700.0,565820300.0,372582600.0,43780.38,48723210.0,198668400.0,508574500.0,196732200.0,1787155000.0,1815024000.0,305861300.0,215013200.0,253130000.0,202580000.0,267974400.0,181135200.0,207004700.0,451092300.0,296067100.0,197764600.0,293283200.0,158182100.0,250622800.0,576204000.0,300315700.0,522461900.0,73923510.0,184962300.0,128601300.0,1466328000.0,304814100.0,246119800.0,324330500.0,346992200.0,227533000.0,97057060.0,134821300.0,306720700.0,203259700.0,125130600.0,422132000.0,269309100.0,79074540.0,179150500.0,348447600.0,103528900.0,179765600.0,317316500.0,82091840.0,167985200.0,120547400.0,92879250.0
